,IM,豆瓣,类别
110,IMDb评分　6.6/10 from 5 users,豆瓣评分　7.4/10 from 836 users,类别　剧情/儿童/家庭
608,IMDb评分　7.7/10 from 180 users,豆瓣评分　8.8/10 from 94474 users,类别　纪录片
889,IMDb评分　5.9/10 from 93 users,豆瓣评分　6.3/10 from 203 users,类别　动作/犯罪
1018,IMDb评分　5.6/10 from 858 users,豆瓣评分　6.6/10 from 78 users,类别　剧情/悬疑/惊悚
1030,IMDb评分　4.8/10 from 2508 users,豆瓣评分　5.2/10 from 201 users,类别　剧情/传记/动作
1045,IMDb评分　5.4/10 from 102 users,豆瓣评分　5.1/10 from 16285 users,类别　喜剧/动作
1048,IMDb评分　5.7/10 from 22 users,豆瓣评分　5.5/10 from 1563 users,类别　剧情/喜剧/奇幻
1065,IMDb评分　6.3/10 from 4393 users,豆瓣评分　6.2/10 from 250 users,类别　动作/惊悚
1070,IMDb评分　5.8/10 from 1112 users,豆瓣评分　6.4/10 from 47 users,类别　爱情/科幻
1078,IMDb评分　5.8/10 from 5088 users,豆瓣评分　6.6/10 from 92 users,类别　剧情/喜剧/动作
1114,IMDb评分　5.9/10 from 1812 users,豆瓣评分　5.2/10 from 137 users,类别　剧情/动作/科幻/惊悚
1124,IMDb评分　4.7/10 from 3211 users,豆瓣评分　6.0/10 from 98 users,类别　剧情/惊悚/犯罪
1128,IMDb评分　6.7/10 from 528 users,豆瓣评分　6.6/10 from 62 users,类别　剧情/战争/爱情
1131,IMDb评分　6.1/10 from 422 users,豆瓣评分　7.2/10 from 274 users,类别　剧情/爱情/音乐
1133,IMDb评分　7.1/10 from 3805 users,豆瓣评分　7.3/10 from 93 users,类别　惊悚/犯罪
1137,IMDb评分　7.1/10 from 5538 users,豆瓣评分　7.6/10 from 1659 users,类别　喜剧/犯罪/冒险
1141,IMDb评分　7.7/10 from 527 users,豆瓣评分　9.3/10 from 1674 users,类别　纪录片/音乐
1142,IMDb评分　9.7/10 from 91144 users,豆瓣评分　7.7/10 from 119 users,类别　剧情/战争/冒险
1143,IMDb评分　4.7/10 from 1980 users,豆瓣评分　5.4/10 from 95 users,类别　动作/犯罪/冒险
1155,IMDb评分　6.0/10 from 5 users,豆瓣评分　6.1/10 from 238 users,类别　剧情/爱情
1156,IMDb评分　6.7/10 from 53 users,豆瓣评分　6.6/10 from 250 users,类别　剧情/爱情
1159,IMDb评分　6.3/10 from 3033 users,豆瓣评分　6.0/10 from 43 users,类别　动作
1182,IMDb评分　6.7/10 from 23 users,豆瓣评分　5.6/10 from 57 users,类别　喜剧
1184,IMDb评分　4.9/10 from 426 users,豆瓣评分　6.0/10 from 1225 users,类别　剧情/悬疑/奇幻/惊悚
1187,IMDb评分　6.4/10 from 48 users,豆瓣评分　5.3/10 from 872 users,类别　喜剧/爱情
1280,IMDb评分　5.8/10 from 300 users,豆瓣评分　5.9/10 from 738 users,类别　剧情/动作/动画/奇幻
1287,IMDb评分　6.2/10 from 955 users,豆瓣评分　6.3/10 from 137 users,类别　剧情/爱情
1288,IMDb评分　5.9/10 from 152681 users,豆瓣评分　6.3/10 from 168 users,类别　剧情/历史
1289,IMDb评分　6.8/10 from 10662 users,豆瓣评分　6.3/10 from 333 users,类别　剧情/动作/犯罪
1291,IMDb评分　6.4/10 from 9583 users,豆瓣评分　5.8/10 from 1867 users,类别　剧情/喜剧
1292,IMDb评分　5.8/10 from 13144 users,豆瓣评分　6.4/10 from 2595 users,类别　惊悚/恐怖
1294,IMDb评分　5.8/10 from 2581 users,豆瓣评分　6.5/10 from 216 users,类别　剧情/喜剧/爱情
1295,IMDb评分　6.9/10 from 398 users,豆瓣评分　6.6/10 from 136 users,类别　剧情/喜剧/爱情
1297,IMDb评分　6.7/10 from 1502 users,豆瓣评分　4.5/10 from 1423 users,类别　动画/家庭/冒险
1303,IMDb评分　6.7/10 from 1001 users,豆瓣评分　7.1/10 from 761 users,类别　剧情/灾难
1305,IMDb评分　6.3/10 from 3504 users,豆瓣评分　7.2/10 from 112 users,类别　惊悚/恐怖
1309,IMDb评分　7.2/10 from 610 users,豆瓣评分　7.5/10 from 122 users,类别　剧情/犯罪/惊悚
1311,IMDb评分　7.4/10 from 698 users,豆瓣评分　7.7/10 from 47 users,类别　剧情/喜剧
1323,IMDb评分　4.5/10 from 230 users,豆瓣评分　5.6/10 from 631 users,类别　喜剧/冒险/家庭
1326,IMDb评分　5.9/10 from 1983 users,豆瓣评分　5.3/10 from 162 users,类别　惊悚
1330,IMDb评分　7.2/10 from 323 users,豆瓣评分　8.0/10 from 366 users,类别　剧情/动画
1332,IMDb评分　7.2/10 from 1915 users,豆瓣评分　7.3/10 from 1058 users,类别　剧情/同性
1340,IMDb评分　6.0/10 from 2037 users,豆瓣评分　5.3/10 from 475 users,类别　剧情/喜剧/奇幻/惊悚/恐怖
1342,IMDb评分　6.4/10 from 6520 users,豆瓣评分　6.0/10 from 164 users,类别　惊悚
1355,IMDb评分　5.6/10 from 1255 users,豆瓣评分　6.3/10 from 75 users,类别　剧情/惊悚/恐怖
1389,IMDb评分　7.5/10 from 9072 users,豆瓣评分　7.4/10 from 940 users,类别　剧情/动作/犯罪/惊悚
1391,IMDb评分　6.9/10 from 882 users,豆瓣评分　7.4/10 from 384 users,类别　剧情/喜剧/爱情/奇幻
1422,IMDb评分　5.9/10 from 2596 users,豆瓣评分　4.8/10 from 83 users,类别　剧情/悬疑
1450,IMDb评分　6.7/10 from 588 users,豆瓣评分　6.5/10 from 5691 users,类别　动作/犯罪
1453,IMDb评分　7.4/10 from 304 users,豆瓣评分　7.5/10 from 7.5 users,类别　剧情/爱情/奇幻
1457,IMDb评分　6.3/10 from 9 users,豆瓣评分　5.5/10 from 454 users,类别　剧情/爱情
1459,IMDb评分　7.2/10 from 33 users,豆瓣评分　5.2/10 from 1070 users,类别　剧情/同性
1465,IMDb评分　6.4/10 from 912 users,豆瓣评分　6.3/10 from 138 users,类别　动作/历史/战争/冒险
1471,IMDb评分　6.7/10 from 42278 users,豆瓣评分　7.1/10 from 60498 users,类别　动作/科幻/冒险
1472,IMDb评分　7.0/10 from 708 users,豆瓣评分　7.8/10 from 118 users,类别　剧情/奇幻/冒险
1473,IMDb评分　7.5/10 from 548 users,豆瓣评分　8.0/10 from 95 users,类别　剧情/爱情/传记
1474,IMDb评分　8.0/10 from 3451 users,豆瓣评分　9.2/10 from 18231 users,类别　纪录片
1478,IMDb评分　6.1/10 from 64 users,豆瓣评分　6.1/10 from 37427 users,类别　动作/犯罪/悬疑
1479,IMDb评分　6.7/10 from 79 users,豆瓣评分　6.2/10 from 5004 users,类别　传记/动作/历史/战争/古装
1480,IMDb评分　6.2/10 from 227 users,豆瓣评分　6.2/10 from 7417 users,类别　剧情/爱情/战争
1481,IMDb评分　6.4/10 from 784 users,豆瓣评分　6.8/10 from 190 users,类别　爱情/音乐
1482,IMDb评分　5.4/10 from 16 users,豆瓣评分　6.5/10 from 28438 users,类别　喜剧/动作
1484,IMDb评分　6.6/10 from 9 users,豆瓣评分　6.8/10 from 10721 users,类别　动作/犯罪
1485,IMDb评分　6.4/10 from 53 users,豆瓣评分　7.0/10 from 57556 users,类别　喜剧/音乐
1487,IMDb评分　6.7/10 from 37 users,豆瓣评分　7.2/10 from 23435 users,类别　剧情/悬疑/犯罪
1488,IMDb评分　6.7/10 from 2227 users,豆瓣评分　7.4/10 from 398054 users,类别　动作
1489,IMDb评分　7.1/10 from 189 users,豆瓣评分　7.5/10 from 104929 users,类别　剧情/动作/武侠/古装
1490,IMDb评分　7.0/10 from 28 users,豆瓣评分　7.8/10 from 4431 users,类别　剧情/历史/战争
1491,IMDb评分　7.3/10 from 1013 users,豆瓣评分　7.9/10 from 303592 users,类别　剧情/历史/战争
1492,IMDb评分　7.2/10 from 167 users,豆瓣评分　8.0/10 from 101748 users,类别　喜剧/动画/奇幻/冒险
1493,IMDb评分　7.5/10 from 144 users,豆瓣评分　8.2/10 from 9132 users,类别　纪录片
1494,IMDb评分　5.7/10 from 100 users,豆瓣评分　5.8/10 from 138731 users,类别　喜剧/爱情
1498,IMDb评分　4.2/10 from 449 users,豆瓣评分　3.5/10 from 3186 users,类别　动作/犯罪/冒险
1502,IMDb评分　5.6/10 from 53 users,豆瓣评分　4.2/10 from 1442 users,类别　剧情/动作/爱情/战争
1506,IMDb评分　5.2/10 from 9 users,豆瓣评分　5.9/10 from 4890 users,类别　剧情/犯罪
1509,IMDb评分　5.7/10 from 6 users,豆瓣评分　4.9/10 from 11959 users,类别　剧情/喜剧
1515,IMDb评分　6.3/10 from 50 users,豆瓣评分　5.7/10 from 775 users,类别　剧情/犯罪/惊悚
1516,IMDb评分　7.1/10 from 83 users,豆瓣评分　6.3/10 from 484 users,类别　剧情/历史/战争/古装
1517,IMDb评分　7.8/10 from 39 users,豆瓣评分　6.5/10 from 428 users,类别　动作/犯罪
1521,IMDb评分　5.7/10 from 29823 users,豆瓣评分　6.0/10 from 652 users,类别　喜剧/动作
1522,IMDb评分　5.3/10 from 1179 users,豆瓣评分　6.0/10 from 108 users,类别　惊悚
1523,IMDb评分　6.2/10 from 1390 users,豆瓣评分　6.0/10 from 496 users,类别　科幻/惊悚
1525,IMDb评分　5.3/10 from 983 users,豆瓣评分　6.1/10 from 43 users,类别　喜剧/动作
1526,IMDb评分　6.2/10 from 12924 users,豆瓣评分　6.1/10 from 750 users,类别　喜剧/音乐
1527,IMDb评分　3.8/10 from 1976 users,豆瓣评分　6.1/10 from 38 users,类别　喜剧/儿童
1528,IMDb评分　6.4/10 from 3252 users,豆瓣评分　6.2/10 from 195 users,类别　剧情/悬疑
1529,IMDb评分　5.6/10 from 1270 users,豆瓣评分　6.2/10 from 871 users,类别　科幻
1531,IMDb评分　6.2/10 from 2326 users,豆瓣评分　6.2/10 from 169 users,类别　喜剧/恐怖/冒险
1533,IMDb评分　6.4/10 from 2681 users,豆瓣评分　6.3/10 from 374 users,类别　剧情/音乐
1534,IMDb评分　5.2/10 from 246 users,豆瓣评分　6.3/10 from 1059 users,类别　剧情/冒险
1535,IMDb评分　6.3/10 from 8780 users,豆瓣评分　5.9/10 from 290 users,类别　剧情/爱情/冒险
1537,IMDb评分　6.4/10 from 28480 users,豆瓣评分　5.8/10 from 5493 users,类别　剧情/爱情/科幻/冒险
1539,IMDb评分　6.5/10 from 13626 users,豆瓣评分　5.4/10 from 234 users,类别　动作/惊悚
1541,IMDb评分　6.5/10 from 1505 users,豆瓣评分　6.6/10 from 217 users,类别　剧情/传记
1544,IMDb评分　6.3/10 from 2400 users,豆瓣评分　6.6/10 from 89 users,类别　剧情/战争/惊悚
1545,IMDb评分　7.1/10 from 142770 users,豆瓣评分　6.7/10 from 104889 users,类别　动作/科幻/奇幻/冒险
1546,IMDb评分　5.1/10 from 193 users,豆瓣评分　6.7/10 from 98 users,类别　悬疑/惊悚/恐怖
1547,IMDb评分　7.3/10 from 10723 users,豆瓣评分　6.7/10 from 163 users,类别　剧情/西部/冒险
1548,IMDb评分　7.0/10 from 46684 users,豆瓣评分　6.8/10 from 2535 users,类别　剧情/悬疑/惊悚
1549,IMDb评分　7.4/10 from 6297 users,豆瓣评分　6.9/10 from 257 users,类别　剧情/惊悚
1550,IMDb评分　6.5/10 from 3302 users,豆瓣评分　6.9/10 from 115 users,类别　剧情/传记/战争
1552,IMDb评分　7.0/10 from 20482 users,豆瓣评分　7.1/10 from 9033 users,类别　喜剧/动画/冒险
1554,IMDb评分　8.0/10 from 160551 users,豆瓣评分　7.2/10 from 143393 users,类别　动作/奇幻/冒险
1555,IMDb评分　7.2/10 from 78910 users,豆瓣评分　7.2/10 from 61867 users,类别　动作/奇幻/冒险
1556,IMDb评分　7.5/10 from 323133 users,豆瓣评分　7.3/10 from 65681 users,类别　动作/科幻/冒险
1557,IMDb评分　7.2/10 from 48670 users,豆瓣评分　7.4/10 from 19724 users,类别　动作/奇幻/冒险
1558,IMDb评分　7.7/10 from 95861 users,豆瓣评分　7.5/10 from 49298 users,类别　剧情/奇幻/冒险
1560,IMDb评分　8.1/10 from 187899 users,豆瓣评分　7.5/10 from 121997 users,类别　动作/奇幻/冒险
1561,IMDb评分　6.5/10 from 16471 users,豆瓣评分　7.6/10 from 1495 users,类别　喜剧/动画
1562,IMDb评分　7.1/10 from 3367 users,豆瓣评分　7.6/10 from 109 users,类别　剧情/传记
1564,IMDb评分　7.8/10 from 17413 users,豆瓣评分　8.0/10 from 9089 users,类别　剧情/儿童
1567,IMDb评分　8.7/10 from 74129 users,豆瓣评分　9.1/10 from 3741 users,类别　喜剧/动画/冒险/音乐/家庭
1569,IMDb评分　2.4/10 from 23794 users,豆瓣评分　5.3/10 from 519 users,类别　喜剧/动画/冒险
1581,IMDb评分　5.7/10 from 2650 users,豆瓣评分　5.4/10 from 143 users,类别　动作
1582,IMDb评分　4.0/10 from 1700 users,豆瓣评分　4.9/10 from 91 users,类别　喜剧/动作
1585,IMDb评分　5.6/10 from 1785 users,豆瓣评分　4.9/10 from 94 users,类别　悬疑/惊悚
1587,IMDb评分　5.2/10 from 2862 users,豆瓣评分　4.3/10 from 156 users,类别　剧情/犯罪
1598,IMDb评分　5.1/10 from 665 users,豆瓣评分　5.2/10 from 195 users,类别　喜剧
1601,IMDb评分　5.9/10 from 2150 users,豆瓣评分　5.6/10 from 71 users,类别　剧情/悬疑/冒险
1604,IMDb评分　6.1/10 from 3074 users,豆瓣评分　5.7/10 from 242 users,类别　剧情/恐怖
1606,IMDb评分　5.1/10 from 667 users,豆瓣评分　6.2/10 from 163 users,类别　动作/西部/冒险
1607,IMDb评分　6.3/10 from 4241 users,豆瓣评分　5.9/10 from 273 users,类别　惊悚
1608,IMDb评分　4.8/10 from 1503 users,豆瓣评分　6.4/10 from 164 users,类别　喜剧/动画/冒险
1609,IMDb评分　6.2/10 from 3631 users,豆瓣评分　6.4/10 from 236 users,类别　喜剧/动作/动画/冒险
1612,IMDb评分　5.9/10 from 1000 users,豆瓣评分　6.5/10 from 10 users,类别　剧情/历史/犯罪
1614,IMDb评分　6.8/10 from 286 users,豆瓣评分　6.6/10 from 85 users,类别　家庭/历史/战争
1616,IMDb评分　6.3/10 from 6432 users,豆瓣评分　6.7/10 from 266 users,类别　剧情/传记/犯罪
1617,IMDb评分　6.1/10 from 778 users,豆瓣评分　6.8/10 from 837 users,类别　喜剧/动画
1619,IMDb评分　5.6/10 from 389 users,豆瓣评分　6.8/10 from 122 users,类别　动作/科幻/动画
1620,IMDb评分　5.8/10 from 915 users,豆瓣评分　6.8/10 from 2925 users,类别　喜剧/犯罪
1621,IMDb评分　6.4/10 from 1948 users,豆瓣评分　6.8/10 from 71 users,类别　喜剧
1622,IMDb评分　6.5/10 from 1430 users,豆瓣评分　6.9/10 from 884 users,类别　剧情/爱情/惊悚
1623,IMDb评分　6.2/10 from 4062 users,豆瓣评分　6.9/10 from 1799 users,类别　喜剧/动画/冒险
1624,IMDb评分　6.3/10 from 998 users,豆瓣评分　6.9/10 from 130 users,类别　传记/动作/战争/惊悚
1625,IMDb评分　6.7/10 from 4324 users,豆瓣评分　6.9/10 from 99 users,类别　剧情/冒险
1626,IMDb评分　7.8/10 from 76162 users,豆瓣评分　7.0/10 from 68464 users,类别　剧情/动作/科幻
1628,IMDb评分　7.3/10 from 5607 users,豆瓣评分　7.1/10 from 341 users,类别　剧情/传记
1629,IMDb评分　7.1/10 from 3849 users,豆瓣评分　7.1/10 from 1171 users,类别　剧情/爱情/传记
1630,IMDb评分　7.2/10 from 7425 users,豆瓣评分　7.2/10 from 110265 users,类别　喜剧/动作/冒险
1632,IMDb评分　7.1/10 from 2189 users,豆瓣评分　7.2/10 from 102 users,类别　剧情/传记/战争
1633,IMDb评分　7.0/10 from 96990 users,豆瓣评分　7.3/10 from 137370 users,类别　动作/奇幻/冒险
1636,IMDb评分　7.0/10 from 6445 users,豆瓣评分　7.3/10 from 1546 users,类别　剧情/传记/历史/犯罪
1637,IMDb评分　6.5/10 from 887 users,豆瓣评分　7.3/10 from 66 users,类别　喜剧/爱情
1638,IMDb评分　7.0/10 from 8463 users,豆瓣评分　7.3/10 from 787 users,类别　喜剧/传记/运动/同性
1639,IMDb评分　6.7/10 from 8779 users,豆瓣评分　7.4/10 from 14618 users,类别　喜剧/动画/冒险
1640,IMDb评分　7.0/10 from 38654 users,豆瓣评分　7.4/10 from 2172 users,类别　动作/悬疑/惊悚
1641,IMDb评分　7.7/10 from 99359 users,豆瓣评分　7.4/10 from 112864 users,类别　爱情/奇幻/歌舞
1643,IMDb评分　7.7/10 from 1760 users,豆瓣评分　7.9/10 from 617 users,类别　剧情/战争
1644,IMDb评分　7.4/10 from 1939 users,豆瓣评分　8.0/10 from 779 users,类别　纪录片/战争
1645,IMDb评分　8.0/10 from 13748 users,豆瓣评分　5.9/10 from 88 users,类别　剧情/战争
1647,IMDb评分　6.8/10 from 875 users,豆瓣评分　8.3/10 from 917 users,类别　剧情/惊悚
1648,IMDb评分　8.3/10 from 238509 users,豆瓣评分　8.3/10 from 230688 users,类别　剧情/历史/战争
1649,IMDb评分　7.5/10 from 2027 users,豆瓣评分　8.4/10 from 3767 users,类别　剧情/历史/战争
1650,IMDb评分　7.7/10 from 2670 users,豆瓣评分　8.5/10 from 879 users,类别　剧情/传记/爱情
1651,IMDb评分　8.3/10 from 100396 users,豆瓣评分　8.7/10 from 63851 users,类别　剧情/犯罪
1653,IMDb评分　6.4/10 from 5508 users,豆瓣评分　5.6/10 from 296 users,类别　喜剧/动作/动画
1654,IMDb评分　5.8/10 from 211 users,豆瓣评分　5.5/10 from 1976 users,类别　喜剧/动画/奇幻/冒险
1655,IMDb评分　5.9/10 from 30046 users,豆瓣评分　5.2/10 from 623 users,类别　动作/奇幻/冒险
1660,IMDb评分　4.0/10 from 563 users,豆瓣评分　3.7/10 from 78 users,类别　惊悚
1662,IMDb评分　5.6/10 from 850 users,豆瓣评分　5.5/10 from 107 users,类别　惊悚
1663,IMDb评分　5.6/10 from 799 users,豆瓣评分　5.6/10 from 83 users,类别　剧情/爱情/科幻
1665,IMDb评分　5.2/10 from 12896 users,豆瓣评分　5.4/10 from 430 users,类别　剧情/悬疑/惊悚/犯罪
1666,IMDb评分　5.3/10 from 11670 users,豆瓣评分　5.0/10 from 313 users,类别　剧情/科幻/惊悚
1667,IMDb评分　3.9/10 from 282 users,豆瓣评分　5.4/10 from 211 users,类别　科幻
1668,IMDb评分　5.4/10 from 2594 users,豆瓣评分　5.5/10 from 149 users,类别　科幻/恐怖
1669,IMDb评分　4.9/10 from 4040 users,豆瓣评分　3.8/10 from 99 users,类别　科幻
1670,IMDb评分　4.8/10 from 458 users,豆瓣评分　5.1/10 from 128 users,类别　惊悚/恐怖
1672,IMDb评分　5.3/10 from 8102 users,豆瓣评分　5.9/10 from 594 users,类别　喜剧
1673,IMDb评分　5.6/10 from 9868 users,豆瓣评分　5.5/10 from 120 users,类别　喜剧
1674,IMDb评分　5.3/10 from 4020 users,豆瓣评分　5.5/10 from 276 users,类别　喜剧
1676,IMDb评分　6.1/10 from 29 users,豆瓣评分　5.2/10 from 183 users,类别　剧情/犯罪/悬疑
1678,IMDb评分　6.2/10 from 1034 users,豆瓣评分　6.5/10 from 460 users,类别　动画
1679,IMDb评分　8.1/10 from 64 users,豆瓣评分　7.0/10 from 149 users,类别　动作
1680,IMDb评分　6.4/10 from 114 users,豆瓣评分　7.0/10 from 1605 users,类别　剧情/犯罪
1682,IMDb评分　6.9/10 from 308 users,豆瓣评分　7.5/10 from 1544 users,类别　动画
1683,IMDb评分　5.8/10 from 13 users,豆瓣评分　5.8/10 from 175 users,类别　剧情/喜剧/动作
1687,IMDb评分　6.4/10 from 13027 users,豆瓣评分　6.5/10 from 92 users,类别　动作/惊悚/冒险
1689,IMDb评分　8.2/10 from 7879 users,豆瓣评分　8.0/10 from 151455 users,类别　剧情/音乐
1694,IMDb评分　6.8/10 from 1266 users,豆瓣评分　6.4/10 from 113 users,类别　剧情/战争
1696,IMDb评分　4.2/10 from 838 users,豆瓣评分　4.6/10 from 166 users,类别　科幻/惊悚
1697,IMDb评分　5.7/10 from 847 users,豆瓣评分　7.1/10 from 375 users,类别　恐怖/犯罪/冒险
1698,IMDb评分　7.1/10 from 5353 users,豆瓣评分　5.9/10 from 89 users,类别　恐怖
1699,IMDb评分　6.5/10 from 3408 users,豆瓣评分　6.1/10 from 153 users,类别　动作/爱情
1700,IMDb评分　7.8/10 from 10702 users,豆瓣评分　6.6/10 from 328 users,类别　剧情/喜剧
1701,IMDb评分　8.7/10 from 46091 users,豆瓣评分　7.1/10 from 2824 users,类别　剧情/动作/战争/奇幻/冒险
1702,IMDb评分　7.4/10 from 11765 users,豆瓣评分　7.1/10 from 23973 users,类别　剧情/喜剧
1703,IMDb评分　7.3/10 from 3983 users,豆瓣评分　7.2/10 from 698 users,类别　剧情/惊悚
1705,IMDb评分　7.9/10 from 10461 users,豆瓣评分　8.2/10 from 7355 users,类别　剧情/喜剧
1706,IMDb评分　5.7/10 from 114 users,豆瓣评分　6.2/10 from 62 users,类别　剧情/犯罪
1707,IMDb评分　5.1/10 from 311 users,豆瓣评分　7.2/10 from 204 users,类别　悬疑/惊悚
1708,IMDb评分　3.8/10 from 8 users,豆瓣评分　4.9/10 from 141 users,类别　喜剧
1714,IMDb评分　6.1/10 from 70 users,豆瓣评分　5.0/10 from 21979 users,类别　动作/科幻
1716,IMDb评分　5.9/10 from 107 users,豆瓣评分　6.1/10 from 17697 users,类别　喜剧/爱情/奇幻
1720,IMDb评分　6.4/10 from 8 users,豆瓣评分　4.6/10 from 1497 users,类别　剧情/悬疑
1721,IMDb评分　7.1/10 from 7 users,豆瓣评分　6.4/10 from 851 users,类别　剧情/喜剧
1722,IMDb评分　6.4/10 from 10 users,豆瓣评分　3.0/10 from 4402 users,类别　喜剧/奇幻
1725,IMDb评分　7.2/10 from 43 users,豆瓣评分　6.6/10 from 23876 users,类别　剧情/动作/犯罪
1727,IMDb评分　6.5/10 from 604 users,豆瓣评分　7.1/10 from 16009 users,类别　动画
1728,IMDb评分　7.1/10 from 44 users,豆瓣评分　4.3/10 from 153 users,类别　悬疑/惊悚
1729,IMDb评分　7.2/10 from 10226 users,豆瓣评分　7.2/10 from 52538 users,类别　动作/惊悚
1730,IMDb评分　6.6/10 from 322 users,豆瓣评分　7.2/10 from 224354 users,类别　喜剧/奇幻
1731,IMDb评分　7.3/10 from 28 users,豆瓣评分　5.5/10 from 1404 users,类别　喜剧/奇幻
1732,IMDb评分　6.9/10 from 206 users,豆瓣评分　7.3/10 from 89012 users,类别　剧情/犯罪/悬疑/惊悚
1734,IMDb评分　7.2/10 from 189 users,豆瓣评分　8.4/10 from 81278 users,类别　剧情/犯罪/悬疑
1735,IMDb评分　8.5/10 from 31 users,豆瓣评分　5.1/10 from 3694 users,类别　爱情/悬疑
1736,IMDb评分　7.9/10 from 134 users,豆瓣评分　8.6/10 from 33349 users,类别　剧情/爱情
1738,IMDb评分　4.4/10 from 16 users,豆瓣评分　5.2/10 from 12060 users,类别　动作/犯罪
1742,IMDb评分　5.6/10 from 62 users,豆瓣评分　4.8/10 from 24217 users,类别　动作/奇幻
1743,IMDb评分　5.4/10 from 26 users,豆瓣评分　5.4/10 from 49645 users,类别　动作/悬疑/犯罪
1744,IMDb评分　5.3/10 from 183 users,豆瓣评分　5.4/10 from 82790 users,类别　剧情/动作/奇幻
1746,IMDb评分　5.5/10 from 806 users,豆瓣评分　5.1/10 from 12828 users,类别　剧情/动作/科幻
1749,IMDb评分　5.8/10 from 230 users,豆瓣评分　4.8/10 from 11685 users,类别　剧情/动作/悬疑
1764,IMDb评分　4.7/10 from 68 users,豆瓣评分　4.6/10 from 33824 users,类别　喜剧/恐怖
1776,IMDb评分　6.3/10 from 15 users,豆瓣评分　4.8/10 from 9004 users,类别　喜剧/动作/爱情/奇幻
1778,IMDb评分　5.0/10 from 106 users,豆瓣评分　4.5/10 from 161 users,类别　喜剧/恐怖
1786,IMDb评分　6.8/10 from 13 users,豆瓣评分　5.4/10 from 3189 users,类别　剧情/犯罪/悬疑
1804,IMDb评分　5.4/10 from 2346 users,豆瓣评分　6.6/10 from 99 users,类别　剧情/喜剧
1807,IMDb评分　7.5/10 from 25 users,豆瓣评分　6.1/10 from 8795 users,类别　剧情/喜剧
1808,IMDb评分　6.2/10 from 22 users,豆瓣评分　5.4/10 from 839 users,类别　喜剧/爱情
1809,IMDb评分　6.7/10 from 93 users,豆瓣评分　6.3/10 from 796 users,类别　喜剧
1810,IMDb评分　8.6/10 from 18 users,豆瓣评分　6.5/10 from 765 users,类别　爱情
1811,IMDb评分　6.1/10 from 140 users,豆瓣评分　6.4/10 from 9638 users,类别　剧情/爱情
1812,IMDb评分　7.7/10 from 71 users,豆瓣评分　7.1/10 from 394 users,类别　爱情
1813,IMDb评分　6.6/10 from 104 users,豆瓣评分　7.3/10 from 1276 users,类别　剧情/爱情
1814,IMDb评分　7.2/10 from 261 users,豆瓣评分　7.3/10 from 682 users,类别　剧情/动作/奇幻
1815,IMDb评分　6.7/10 from 170 users,豆瓣评分　7.5/10 from 26807 users,类别　喜剧/运动
1816,IMDb评分　7.0/10 from 79 users,豆瓣评分　8.7/10 from 3529 users,类别　喜剧/家庭
1817,IMDb评分　6.2/10 from 21 users,豆瓣评分　5.0/10 from 79 users,类别　惊悚/恐怖
